,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
4031,166,['UA'],LGA,New York,,N,Chicago,2019-06-22T07:30:00.000Z,2019-06-22T10:39:00.000Z,1178.35,22,427
4032,166,['UA'],LGA,New York,,N,Chicago,2019-06-22T21:05:00.000Z,2019-06-23T00:16:00.000Z,1178.35,22,2422
4033,166,['UA'],LGA,New York,,N,Chicago,2019-06-22T16:00:00.000Z,2019-06-22T19:13:00.000Z,1178.35,22,639
4034,166,['UA'],LGA,New York,,N,Chicago,2019-06-22T11:00:00.000Z,2019-06-22T14:18:00.000Z,1178.35,22,791
4035,209,['UA'],LGA,New York,,W,Chicago,2019-06-22T12:30:00.000Z,2019-06-22T15:42:00.000Z,1178.35,22,5364
4036,209,['UA'],LGA,New York,,W,Chicago,2019-06-22T13:00:00.000Z,2019-06-22T16:05:00.000Z,1178.35,22,3518
4037,212,['NK'],LGA,New York,,H,Chicago,2019-06-22T05:51:00.000Z,2019-06-22T09:01:00.000Z,1178.35,37,224
4038,212,['NK'],LGA,New York,,H,Chicago,2019-06-22T17:44:00.000Z,2019-06-22T21:00:00.000Z,1178.35,37,630
4039,212,['DL'],LGA,New York,,,Chicago,2019-06-22T16:40:00.000Z,2019-06-22T20:13:00.000Z,1178.35,25,1097
4040,169,['UA'],LGA,New York,,,Chicago,2019-06-23T07:00:00.000Z,2019-06-23T10:08:00.000Z,1178.35,22,393
4041,209,['UA'],LGA,New York,,W,Chicago,2019-06-23T13:00:00.000Z,2019-06-23T16:05:00.000Z,1178.35,22,682
4042,209,['UA'],LGA,New York,,W,Chicago,2019-06-23T10:00:00.000Z,2019-06-23T13:07:00.000Z,1178.35,22,1499
4043,209,['UA'],LGA,New York,,W,Chicago,2019-06-23T11:00:00.000Z,2019-06-23T14:18:00.000Z,1178.35,22,791
4044,212,['UA'],LGA,New York,,,Chicago,2019-06-23T09:00:00.000Z,2019-06-23T12:03:00.000Z,1178.35,22,910
4045,212,['UA'],LGA,New York,,,Chicago,2019-06-23T07:30:00.000Z,2019-06-23T10:39:00.000Z,1178.35,22,427
