,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
4485,169,['UA'],LGA,New York,,,Chicago,2019-07-08T09:00:00.000Z,2019-07-08T12:03:00.000Z,1178.35,22,910
4486,169,['UA'],LGA,New York,,,Chicago,2019-07-08T13:00:00.000Z,2019-07-08T16:05:00.000Z,1178.35,22,682
4487,169,['UA'],LGA,New York,,,Chicago,2019-07-08T10:00:00.000Z,2019-07-08T13:07:00.000Z,1178.35,22,1499
4488,169,['UA'],LGA,New York,,,Chicago,2019-07-08T14:00:00.000Z,2019-07-08T17:09:00.000Z,1178.35,22,509
4489,169,['UA'],LGA,New York,,,Chicago,2019-07-08T12:00:00.000Z,2019-07-08T15:11:00.000Z,1178.35,22,1741
4490,169,['UA'],LGA,New York,,,Chicago,2019-07-08T15:00:00.000Z,2019-07-08T18:11:00.000Z,1178.35,22,1642
4491,169,['UA'],LGA,New York,,,Chicago,2019-07-08T12:30:00.000Z,2019-07-08T15:42:00.000Z,1178.35,22,5364
4492,169,['UA'],LGA,New York,,,Chicago,2019-07-08T16:00:00.000Z,2019-07-08T19:13:00.000Z,1178.35,22,639
4493,169,['UA'],LGA,New York,,,Chicago,2019-07-08T17:00:00.000Z,2019-07-08T20:16:00.000Z,1178.35,22,263
4494,169,['UA'],LGA,New York,,,Chicago,2019-07-08T11:00:00.000Z,2019-07-08T14:18:00.000Z,1178.35,22,791
4495,209,['UA'],LGA,New York,,W,Chicago,2019-07-08T07:00:00.000Z,2019-07-08T10:08:00.000Z,1178.35,22,393
4496,209,['UA'],LGA,New York,,W,Chicago,2019-07-08T07:30:00.000Z,2019-07-08T10:39:00.000Z,1178.35,22,427
4497,209,['UA'],LGA,New York,,W,Chicago,2019-07-08T08:00:00.000Z,2019-07-08T11:10:00.000Z,1178.35,22,1166
4498,209,['UA'],LGA,New York,,W,Chicago,2019-07-08T19:00:00.000Z,2019-07-08T22:11:00.000Z,1178.35,22,1823
4499,209,['UA'],LGA,New York,,W,Chicago,2019-07-08T18:00:00.000Z,2019-07-08T21:15:00.000Z,1178.35,22,692
4500,289,['UA'],LGA,New York,,,Chicago,2019-07-08T06:00:00.000Z,2019-07-08T09:12:00.000Z,1178.35,22,2140
4501,67,['UA'],LGA,New York,,N,Chicago,2019-07-09T13:00:00.000Z,2019-07-09T16:05:00.000Z,1178.35,22,682
4502,67,['UA'],LGA,New York,,N,Chicago,2019-07-09T12:00:00.000Z,2019-07-09T15:11:00.000Z,1178.35,22,1741
4503,69,['DL'],LGA,New York,,,Chicago,2019-07-09T07:40:00.000Z,2019-07-09T11:03:00.000Z,1178.35,25,306
